iso3,weo_vintage,year,is_base_year,tr_anchor_mn,ggr_weo_mn,gap_tr_mn,te_anchor_mn,ggx_weo_mn,gap_te_mn,nlb_anchor_mn,ggxcnl_weo_mn,gap_nlb_mn,ni_ours_mn,ni_weo_mn,gap_ni_mn,gdp_anchor_mn,ngdp_weo_mn,gap_gdp_mn,gap_tr_pct_te,gap_te_pct_te,gap_nlb_pct_te,gap_gdp_pct_gdp,classification,notes
GBR,2026-04,1990,False,227587.0,224545.0,3042.0,237527.0,234842.0,2685.0,-9940.0,-10297.0,357.0,,11366.0,,672977.0,672977.0,0.0,1.2807,1.1304,0.1503,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1991,False,238031.0,233607.0,4424.0,257370.0,253130.0,4240.0,-19339.0,-19523.0,184.0,,9387.0,,708072.0,708072.0,0.0,1.7189,1.6474,0.0715,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1992,False,241577.0,236702.0,4875.0,281615.0,276223.0,5392.0,-40038.0,-39521.0,-517.0,,10064.0,,733221.0,733221.0,0.0,1.7311,1.9147,-0.1836,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1993,False,244677.0,239777.0,4900.0,298094.0,290769.0,7325.0,-53417.0,-50992.0,-2425.0,,11183.0,,772390.0,772390.0,0.0,1.6438,2.4573,-0.8135,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1994,False,262194.0,257336.0,4858.0,311997.0,303886.0,8111.0,-49803.0,-46550.0,-3253.0,,13891.0,,813527.0,813527.0,0.0,1.5571,2.5997,-1.0426,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1995,False,282664.0,277869.0,4795.0,328874.0,320359.0,8515.0,-46210.0,-42490.0,-3720.0,22906.0,17349.0,5557.0,854921.0,854921.0,0.0,1.458,2.5891,-1.1311,0.0,unexplained,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1996,False,300002.0,291625.0,8377.0,337467.0,324814.0,12653.0,-37465.0,-33189.0,-4276.0,24263.0,18413.0,5850.0,913609.0,913609.0,0.0,2.4823,3.7494,-1.2671,0.0,unexplained,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1997,False,322933.0,313303.0,9630.0,341776.0,332429.0,9347.0,-18843.0,-19126.0,283.0,24571.0,20283.0,4288.0,958539.0,958539.0,0.0,2.8176,2.7348,0.0828,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1998,False,351490.0,341473.0,10017.0,353573.0,343556.0,10017.0,-2083.0,-2083.0,0.0,25469.0,19730.0,5739.0,1002804.0,1002804.0,0.0,2.8331,2.8331,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,1999,False,372689.0,361111.0,11578.0,364712.0,353134.0,11578.0,7977.0,7977.0,0.0,22892.0,17756.0,5136.0,1046727.0,1046727.0,0.0,3.1746,3.1746,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2000,False,402079.0,388356.0,13723.0,386659.0,372936.0,13723.0,15420.0,15420.0,0.0,23486.0,18260.0,5226.0,1104759.0,1104759.0,0.0,3.5491,3.5491,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2001,False,417942.0,400586.0,17356.0,414039.0,396683.0,17356.0,3903.0,3903.0,0.0,21385.0,17009.0,4376.0,1150542.0,1150542.0,0.0,4.1919,4.1919,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2002,False,423991.0,404458.0,19533.0,447236.0,427703.0,19533.0,-23245.0,-23245.0,0.0,19557.0,16354.0,3203.0,1194646.0,1194646.0,0.0,4.3675,4.3675,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2003,False,447902.0,426883.0,21019.0,488220.0,467201.0,21019.0,-40318.0,-40318.0,0.0,20662.0,17737.0,2925.0,1262502.0,1262502.0,0.0,4.3052,4.3052,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2004,False,488059.0,460724.0,27335.0,529773.0,502438.0,27335.0,-41714.0,-41714.0,0.0,22421.0,19405.0,3016.0,1327143.0,1327143.0,0.0,5.1598,5.1598,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2005,False,532688.0,492851.0,39837.0,576622.0,536785.0,39837.0,-43934.0,-43934.0,0.0,25562.0,22354.0,3208.0,1403249.0,1403249.0,0.0,6.9087,6.9087,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
GBR,2026-04,2006,False,561010.0,523961.0,37049.0,601477.0,564428.0,37049.0,-40467.0,-40467.0,0.0,26476.0,23729.0,2747.0,1478080.0,1478080.0,0.0,6.1597,6.1597,0.0,0.0,perimeter,perimeter gap expected (§14); country mean -0.10% of TE
